name,interests
Ernest Wallace,Indonesian
Dorothy Palmer,Kazakh
Ernest Perry,Catalan
Andrew Griffin,Telugu
Pamela Smith,Gujarati
Anne Stanley,Tsonga
Jeffrey Bowman,Khmer
Jeremy Bradley,Pashto
Melissa Parker,Estonian
Martha Rose,Telugu
Kathleen Stewart,Pashto
Catherine Sims,Dutch
Phyllis Edwards,Georgian
Jeremy Willis,Bulgarian
Roger Price,Belarusian
Sara Rice,Hebrew
Phillip Stone,Bosnian
Marilyn Rice,Hungarian
Adam Morrison,Hiri Motu
Alan Ross,Kurdish
Timothy Vasquez,Swati
Ronald Martinez,Moldovan
Joan Richardson,Bulgarian
Alice Ramirez,Danish
Jesse Sims,Kannada
Wayne Arnold,Khmer
Justin Bryant,Fijian
Mildred Moreno,Telugu
Rachel Cunningham,Italian
Jason Price,Belarusian
Martin Thomas,Tsonga
Steve Gutierrez,Māori
Ann Simmons,Telugu
Russell Allen,Italian
Christina Richards,Luxembourgish
George Perez,Yiddish
Ruth Gray,Norwegian
James Cox,Latvian
Amy Martin,Czech
Sarah Graham,Nepali
Wanda Stone,Dhivehi
Marilyn Gibson,Azeri
Christine Ray,West Frisian
Susan Grant,Georgian
Lawrence Johnston,Somali
Carol Lopez,Lao
Marie Burton,Tajik
David Burke,Zulu
Dennis Freeman,Portuguese
Doris Olson,English
Walter Rice,Bosnian
Matthew Jones,Tajik
Kimberly Reid,Indonesian
Steve Elliott,West Frisian
Rebecca Stone,Yiddish
Pamela George,New Zealand Sign Language
Roy Morris,Norwegian
Christine Fields,Burmese
Linda Peterson,French
Margaret Ward,Czech
Jesse Henderson,Burmese
Catherine Fields,Pashto
Kelly Palmer,Somali
Teresa Bishop,Indonesian
Kelly Riley,Kurdish
Sandra Medina,Northern Sotho
Michael Lane,Hiri Motu
Shirley Freeman,Tok Pisin
Karen Murphy,Tetum
Ashley Lawrence,Assamese
Todd Medina,Azeri
Johnny Carter,Malagasy
Bonnie Bryant,Estonian
Margaret Henderson,Aymara
Mildred Thompson,Luxembourgish
Clarence Patterson,Hiri Motu
Joe Marshall,Burmese
Jeffrey Gray,Moldovan
Ashley Knight,Khmer
Julia Spencer,Icelandic
Kimberly Sims,Georgian
Debra Brown,Maltese
Diane Parker,Guaraní
Anthony Murray,Marathi
Andrew Bradley,Swati
Rebecca White,Luxembourgish
Pamela Cole,Czech
Peter James,West Frisian
Chris Hudson,Oriya
Frank Green,Dutch
Judith Hamilton,Filipino
Jesse Reynolds,Swedish
Martin Washington,Danish
Kathy Perkins,Hebrew
Victor Knight,Malayalam
Ann Rodriguez,Dari
Roy Ford,Tetum
Brenda Stephens,Tamil
Heather Day,Georgian
Ruby Owens,Amharic
Jeffrey Romero,Greek
Jesse Richardson,Latvian
Andrea Rodriguez,Hungarian
Eric Ellis,Georgian
Sandra Thomas,Kashmiri
Martin Gordon,Greek
Amy Miller,Assamese
Marie Rice,Czech
Kelly Rose,Gujarati
Bobby Morgan,Yiddish
Frank Kennedy,Mongolian
Jesse Allen,Greek
Gary Meyer,Bulgarian
Ruth Kim,Māori
Paula Wells,Nepali
George Gonzales,Tamil
Brandon Greene,Kyrgyz
Edward Hawkins,Fijian
Anne Robertson,Spanish
Russell Mills,Dari
Barbara James,Icelandic
Gerald Baker,Amharic
Mildred Duncan,Luxembourgish
Heather Matthews,New Zealand Sign Language
Irene Hawkins,Assamese
Tina Martin,Quechua
Teresa Stewart,Nepali
Bobby Warren,Bulgarian
Christopher Jacobs,Montenegrin
Catherine Alvarez,Azeri
Ruby Coleman,West Frisian
Sandra Patterson,Amharic
Doris Stewart,Pashto
Carlos Cruz,Bengali
Sandra Myers,Latvian
Amy Moreno,Malay
Heather Hamilton,Romanian
Denise Diaz,Polish
Denise Fuller,Croatian
Jacqueline Gomez,Icelandic
Phyllis Davis,Finnish
Samuel Kelly,Icelandic
Sharon Mccoy,Papiamento
Diane Mcdonald,Latvian
Alan Cooper,Oriya
Elizabeth Harper,Mongolian
Theresa Cooper,Armenian
Diane Grant,Azeri
Carol Wheeler,Northern Sotho
Clarence Nelson,Quechua
Bruce Morgan,Georgian
Kathryn Ortiz,Lao
Willie Harris,Filipino
Teresa King,Finnish
Nicole Hawkins,Ndebele
Pamela Stewart,Swedish
Kelly Phillips,Filipino
Joseph Patterson,Montenegrin
Jane Little,Macedonian
Ralph Murphy,Belarusian
Julie Fox,Georgian
Robert Jackson,Icelandic
Clarence Owens,Macedonian
Helen Williamson,Bulgarian
Marilyn Kelly,Korean
Lori Burke,Italian
Mary Owens,Quechua
Christine Anderson,Italian
Joshua Scott,Nepali
Ernest Davis,Thai
Kathy Dixon,Gagauz
William Anderson,Oriya
Chris Lynch,Danish
Sean Vasquez,Korean
Roger Kennedy,Mongolian
Mary Mccoy,Polish
Gary Hunter,Nepali
Brandon Powell,English
Kelly Harrison,Haitian Creole
Jason Boyd,Irish Gaelic
Anna Knight,Bislama
Kevin Gordon,Bosnian
Bobby Armstrong,Tswana
Helen Fowler,Finnish
Carolyn Cruz,Montenegrin
Nicholas Gray,Catalan
Phyllis Howard,Tetum
Jean Robertson,Dhivehi
Laura Clark,Lithuanian
Sarah Hall,Montenegrin
Gregory Carr,Malay
Adam Cunningham,Chinese
Jonathan Spencer,Dutch
Russell Richardson,Mongolian
Charles Brooks,Kurdish
Mildred Harris,Punjabi
Gloria Wheeler,Danish
Alice Alvarez,Croatian
Thomas Duncan,Chinese
Anthony Morris,Finnish
Katherine Gray,Maltese
Melissa Griffin,Kyrgyz
Christine Riley,Guaraní
Helen Rodriguez,Czech
Maria Williamson,Korean
Matthew Bradley,German
Wanda Stone,Quechua
Sharon Robinson,Japanese
Debra Washington,Bislama
Bruce Campbell,Mongolian
Shirley Berry,Kannada
Donna Perry,Burmese
Robert Moreno,Catalan
Walter Alexander,Finnish
Diane Mills,Thai
Bobby Green,Fijian
Arthur Day,Haitian Creole
Andrew Hicks,Hungarian
Jonathan Cox,Polish
Shawn Riley,Yiddish
Theresa Ray,Catalan
Louis Morrison,Dari
John Fuller,Yiddish
Adam Mills,Polish
Sharon Hughes,Marathi
Matthew Berry,Croatian
William Wells,Malagasy
Nancy Dean,Assamese
Gerald Russell,Burmese
Arthur Cunningham,Sotho
Susan Jacobs,Sotho
Joan Hicks,Hebrew
Janet Nelson,Somali
Ralph Austin,Japanese
Larry Bryant,Aymara
Phillip Rice,Luxembourgish
Howard Gordon,Georgian
Ruth Rice,Chinese
Pamela Day,Guaraní
Donald Thomas,Malagasy
William Ray,Romanian
Maria Tucker,Pashto
Charles Lee,Lao
Jeremy Reynolds,Kurdish
Denise Matthews,Luxembourgish
Nicole Diaz,Gagauz
Janice Russell,Swedish
Jerry Black,Kazakh
Douglas Morgan,Arabic
Phyllis Greene,Macedonian
Shirley Black,Bengali
Deborah Marshall,Hungarian
Virginia Kelley,Kannada
Juan White,West Frisian
Catherine Diaz,Estonian
Andrea Sullivan,Bengali
Lori Perez,Croatian
Amy Bailey,Irish Gaelic
Janet Schmidt,Mongolian
Julie Wheeler,Kyrgyz
Judith Kennedy,Finnish
Brandon Spencer,Greek
Brandon Morgan,Somali
Amy George,Hungarian
Ruth Castillo,Malagasy
Rose Wilson,Telugu
Wanda Phillips,Hungarian
Phyllis Coleman,New Zealand Sign Language
Jessica Davis,Bislama
Eugene Duncan,Gujarati
Kathy Ryan,Hebrew
Cynthia Ortiz,Estonian
Kevin Spencer,Papiamento
Margaret Richardson,Kurdish
Evelyn Simpson,Czech
Carl Gordon,Malay
Christopher Fowler,Bengali
Louis Russell,Azeri
Wanda Banks,Italian
Samuel Mcdonald,Norwegian
Karen Morales,Georgian
Virginia Snyder,Lithuanian
Sara Gibson,Dutch
Arthur Ross,Chinese
Eric Hansen,English
Joshua Wallace,Estonian
Timothy Burke,Arabic
Jonathan Shaw,Yiddish
Jonathan Montgomery,Hungarian
Eric Woods,Polish
Martin Willis,Bulgarian
Christina Thompson,Malagasy
Phyllis Mills,Filipino
Andrea Watkins,Greek
Julia Sullivan,Armenian
Marilyn Reid,Icelandic
Shawn Fuller,Khmer
Carlos Nguyen,Yiddish
Lois Crawford,Macedonian
Patrick Cruz,Romanian
